Country,GDP,Population: Labor force participation (%),Population,Unemployment rate,Tax revenue (%),Total tax rate,CPI,CPI Change (%),Fertility Rate,Birth Rate,Life expectancy,Gross primary education enrollment (%),Gross tertiary education enrollment (%),Out of pocket health expenditure,GDP per Capita
South Sudan,11997800751.0,0.7240000000000001,11062113.0,0.12240000000000001,,0.314,"4,583.71",1.879,4.7,35.01,57.6,0.73,,0.613,1084.58490263117
Spain,1394116310769.0,0.575,47076781.0,0.1396,0.142,0.47,110.96,0.006999999999999999,1.26,7.9,83.3,1.0270000000000001,0.889,0.242,29613.67113798626
Sri Lanka,84008783756.0,0.539,21803000.0,0.042,0.11900000000000001,0.552,155.53,0.035,2.2,15.83,76.8,1.002,0.196,0.384,3853.0836928863
Sudan,18902284476.0,0.484,42813238.0,0.1653,0.08,0.45399999999999996,"1,344.19",0.51,4.41,32.18,65.1,0.768,0.16899999999999998,0.632,441.5056033837011
Suriname,3985250737.0,0.511,581372.0,0.0733,0.195,0.27899999999999997,294.66,0.22,2.42,18.54,71.6,1.088,0.126,0.10099999999999999,6854.906560687477
Sweden,530832908738.0,0.6459999999999999,10285453.0,0.06480000000000001,0.27899999999999997,0.491,110.51,0.018000000000000002,1.76,11.4,82.5,1.266,0.67,0.152,51610.06605523354
Switzerland,703082435360.0,0.6829999999999999,8574832.0,0.0458,0.10099999999999999,0.28800000000000003,99.55,0.004,1.52,10.0,83.6,1.052,0.596,0.28300000000000003,81993.72714940654
Syria,40405006007.0,0.441,17070135.0,0.0837,0.142,0.42700000000000005,143.2,0.36700000000000005,2.81,23.69,71.8,0.8170000000000001,0.401,0.537,2366.999792737433
Tajikistan,8116626794.0,0.42,9321018.0,0.11019999999999999,0.098,0.6729999999999999,148.57,0.06,3.59,30.76,70.9,1.0090000000000001,0.313,0.631,870.787589295504
Tanzania,63177068175.0,0.8340000000000001,58005463.0,0.019799999999999998,0.115,0.43799999999999994,187.43,0.035,4.89,36.7,65.0,0.9420000000000001,0.04,0.261,1089.1572087787663
Thailand,543649976166.0,0.6729999999999999,69625582.0,0.0075,0.149,0.295,113.27,0.006999999999999999,1.53,10.34,76.9,0.998,0.493,0.11800000000000001,7808.192916304814
East Timor,1673540300.0,0.6729999999999999,3500000.0,0.0455,0.25,0.17300000000000001,145.38,0.026000000000000002,4.02,29.42,69.3,1.153,0.17800000000000002,0.102,478.15437142857144
Togo,5459979417.0,0.7759999999999999,8082366.0,0.0204,0.16899999999999998,0.48200000000000004,113.3,0.006999999999999999,4.32,33.11,60.8,1.238,0.145,0.51,675.5422133815766
Tonga,450353314.0,0.598,100209.0,0.011200000000000002,0.223,0.275,121.09,0.07400000000000001,3.56,24.3,70.8,1.163,0.064,0.102,4494.140386592023
Trinidad and Tobago,24100202834.0,0.6,1394973.0,0.0269,0.195,0.405,141.75,0.01,1.73,12.94,73.4,1.062,0.12,0.373,17276.465447001483
Tunisia,38797709924.0,0.461,11694719.0,0.1602,0.21100000000000002,0.607,155.33,0.067,2.2,17.56,76.5,1.1540000000000001,0.317,0.39799999999999996,3317.5410135121674
Turkey,754411708203.0,0.528,83429615.0,0.1349,0.179,0.423,234.44,0.152,2.07,16.03,77.4,0.932,0.239,0.16899999999999998,9042.492982893424
Turkmenistan,40761142857.0,0.645,5942089.0,0.0391,,,,,2.79,23.83,68.1,0.884,0.08,0.711,6859.732807266939
Tuvalu,47271463.0,,11646.0,,,,,,,,,0.86,,0.006999999999999999,4059.029967370771
Uganda,34387229486.0,0.703,44269594.0,0.0184,0.11699999999999999,0.337,173.87,0.028999999999999998,4.96,38.14,63.0,1.0270000000000001,0.048,0.405,776.7685758762549
Ukraine,153781069118.0,0.542,44385155.0,0.0888,0.201,0.452,281.66,0.079,1.3,8.7,71.6,0.99,0.8270000000000001,0.478,3464.696002931611
United Arab Emirates,421142267938.0,0.821,9770529.0,0.0235,0.001,0.159,114.52,-0.019,1.41,10.33,77.8,1.084,0.368,0.17800000000000002,43103.32305835232
United Kingdom,2827113184696.0,0.628,66834405.0,0.0385,0.255,0.306,119.62,0.017,1.68,11.0,81.3,1.012,0.6,0.14800000000000002,42300.26712583137
United States,21427700000000.0,0.62,328239523.0,0.147,0.096,0.366,117.24,0.075,1.73,11.6,78.5,1.018,0.882,0.111,65280.6822413034
Uruguay,56045912952.0,0.64,3461734.0,0.0873,0.201,0.418,202.92,0.079,1.97,13.86,77.8,1.085,0.631,0.162,16190.126957183886
Uzbekistan,57921286440.0,0.6509999999999999,33580650.0,0.0592,0.14800000000000002,0.316,,,2.42,23.3,71.6,1.042,0.10099999999999999,0.42700000000000005,1724.8411344032947
Vanuatu,917058851.0,0.6990000000000001,299882.0,0.043899999999999995,0.17800000000000002,0.085,117.13,0.027999999999999997,3.78,29.6,70.3,1.093,0.047,0.08900000000000001,3058.065675832494
Venezuela,482359318768.0,0.597,28515829.0,0.08800000000000001,,0.733,"2,740.27",2.549,2.27,17.88,72.1,0.972,0.7929999999999999,0.45799999999999996,16915.49345340793
Vietnam,261921244843.0,0.774,96462106.0,0.020099999999999996,0.191,0.376,163.52,0.027999999999999997,2.05,16.75,75.3,1.1059999999999999,0.285,0.435,2715.276036405425
Yemen,26914402224.0,0.38,29161922.0,0.1291,,0.266,157.58,0.081,3.79,30.45,66.1,0.9359999999999999,0.102,0.81,922.9296417430922
Zambia,23064722446.0,0.746,17861030.0,0.1143,0.162,0.156,212.31,0.092,4.63,36.19,63.5,0.987,0.040999999999999995,0.275,1291.3433573539712
Zimbabwe,21440758800.0,0.831,14645468.0,0.0495,0.207,0.316,105.51,0.009000000000000001,3.62,30.68,61.2,1.099,0.1,0.258,1463.9859101805419
