Country,GDP,Population: Labor force participation (%),Population,Unemployment rate,Tax revenue (%),Total tax rate,CPI,CPI Change (%),Fertility Rate,Birth Rate,Life expectancy,Gross primary education enrollment (%),Gross tertiary education enrollment (%),Out of pocket health expenditure,GDP per Capita
Chile,282318159745.0,0.626,18952038.0,0.0709,0.182,0.34,131.91,0.026000000000000002,1.65,12.43,80.0,1.014,0.885,0.322,14896.453866597354
China,19910000000000.0,0.68,1397715000.0,0.0432,0.094,0.5920000000000001,125.08,0.028999999999999998,1.69,10.9,77.0,1.002,0.506,0.324,14244.677920749224
Colombia,323802808108.0,0.688,50339443.0,0.0971,0.14400000000000002,0.7120000000000001,140.95,0.035,1.81,14.88,77.1,1.145,0.5529999999999999,0.183,6432.387583390623
Comoros,1185728677.0,0.433,850886.0,0.0434,,2.1959999999999997,103.62,-0.043,4.21,31.88,64.1,0.995,0.09,0.748,1393.522371974624
Republic of the Congo,10820591131.0,0.6940000000000001,5380508.0,0.0947,0.09,0.5429999999999999,124.74,0.022000000000000002,4.43,32.86,64.3,1.0659999999999998,0.127,0.43799999999999994,2011.0723989259006
Costa Rica,61773944174.0,0.621,5047561.0,0.1185,0.136,0.583,128.85,0.021,1.75,13.97,80.1,1.133,0.552,0.215,12238.374964463035
Croatia,60415553039.0,0.512,4067500.0,0.0693,0.22,0.205,109.82,0.008,1.47,9.0,78.1,0.965,0.679,0.152,14853.239837492318
Cuba,100023000000.0,0.536,11333483.0,0.016399999999999998,,,,,1.62,10.17,78.7,1.0190000000000001,0.414,,8825.442275777004
Cyprus,24564647935.0,0.631,1198575.0,0.0727,0.245,0.22399999999999998,102.51,0.003,1.33,10.46,80.8,0.993,0.759,0.439,20494.87761299877
Czech Republic,246489245495.0,0.606,10669709.0,0.019299999999999998,0.149,0.461,116.48,0.027999999999999997,1.69,10.7,79.0,1.0070000000000001,0.6409999999999999,0.14800000000000002,23101.777704996453
Democratic Republic of the Congo,47319624204.0,0.635,86790567.0,0.0424,0.107,0.507,133.85,0.028999999999999998,5.92,41.18,60.4,1.08,0.066,0.374,545.2162123102618
Denmark,348078018464.0,0.622,5818553.0,0.049100000000000005,0.324,0.23800000000000002,110.35,0.008,1.73,10.6,81.0,1.013,0.8059999999999999,0.13699999999999998,59822.092960913134
Djibouti,3318716359.0,0.602,973560.0,0.10300000000000001,,0.379,120.25,0.033,2.73,21.47,66.6,0.753,0.053,0.204,3408.8462539545585
Dominica,596033333.0,,71808.0,,0.221,0.326,103.87,0.01,1.9,12.0,76.6,1.147,0.07200000000000001,0.284,8300.375069630125
Dominican Republic,88941298258.0,0.643,10738958.0,0.0584,0.13,0.488,135.5,0.018000000000000002,2.35,19.51,73.9,1.057,0.599,0.43700000000000006,8282.11622189043
Ecuador,107435665000.0,0.68,17373662.0,0.0397,,0.344,124.14,0.003,2.43,19.72,76.8,1.033,0.449,0.43700000000000006,6183.823824821733
Egypt,303175127598.0,0.46399999999999997,100388073.0,0.1076,0.125,0.444,288.57,0.092,3.33,26.38,71.8,1.063,0.35200000000000004,0.62,3020.0313497202005
El Salvador,27022640000.0,0.591,6453553.0,0.041100000000000005,0.18100000000000002,0.364,111.23,0.001,2.04,18.25,73.1,0.948,0.294,0.27899999999999997,4187.250031106896
Equatorial Guinea,11026774945.0,0.62,1355986.0,0.0643,0.061,0.794,124.35,0.012,4.51,33.24,58.4,0.618,0.019,0.72,8131.92388785725
Eritrea,2065001626.0,0.784,6333135.0,0.051399999999999994,,0.8370000000000001,,,4.06,30.3,65.9,0.684,0.034,0.524,326.0630992391604
Estonia,31386949981.0,0.636,1331824.0,0.051100000000000007,0.209,0.478,122.14,0.023,1.59,10.9,78.2,0.972,0.696,0.228,23566.890205462583
Eswatini,3791304348.0,,1093238.0,,0.28600000000000003,,,,,,,,,0.113,3467.9588049445774
Ethiopia,96107662398.0,0.7959999999999999,112078730.0,0.0208,0.075,0.377,143.86,0.158,4.25,32.34,66.2,1.01,0.081,0.37799999999999995,857.5013510413618
Fiji,5535548972.0,0.5760000000000001,889953.0,0.040999999999999995,0.242,0.321,132.3,0.018000000000000002,2.77,21.28,67.3,1.064,0.161,0.214,6220.046420428944
Finland,268761201365.0,0.591,5520314.0,0.0659,0.20800000000000002,0.366,112.33,0.01,1.41,8.6,81.7,1.002,0.882,0.19899999999999998,48685.853986747854
France,2715518274227.0,0.551,67059887.0,0.0843,0.242,0.607,110.05,0.011000000000000001,1.88,11.3,82.5,1.025,0.6559999999999999,0.068,40493.9285720389
Gabon,16657960228.0,0.529,2172579.0,0.2,0.102,0.47100000000000003,122.19,0.021,3.97,31.61,66.2,1.399,0.083,0.259,7667.366861228061
The Gambia,1763819048.0,0.594,2347706.0,0.0906,0.094,0.484,172.73,0.071,5.22,38.54,61.7,0.98,0.027000000000000003,0.203,751.2946885172164
Georgia,17743195770.0,0.6829999999999999,3720382.0,0.14400000000000002,0.217,0.099,133.61,0.049,2.06,13.47,73.6,0.986,0.639,0.573,4769.18654320981
Germany,3845630030824.0,0.608,83132799.0,0.0304,0.115,0.488,112.85,0.013999999999999999,1.56,9.5,80.9,1.04,0.7020000000000001,0.125,46258.8782897109
Ghana,66983634224.0,0.6779999999999999,30792608.0,0.0433,0.126,0.5539999999999999,268.36,0.07200000000000001,3.87,29.41,63.8,1.048,0.157,0.361,2175.3153946557563
Greece,209852761469.0,0.518,10716322.0,0.1724,0.262,0.519,101.87,0.002,1.35,8.1,81.3,0.996,1.3659999999999999,0.355,19582.53601086268
Grenada,1228170370.0,,112003.0,,0.19399999999999998,0.478,107.43,0.008,2.06,16.47,72.4,1.069,1.046,0.57,10965.51315589761
Guatemala,76710385880.0,0.623,16604026.0,0.0246,0.106,0.35200000000000004,142.92,0.037000000000000005,2.87,24.56,74.1,1.0190000000000001,0.218,0.5579999999999999,4619.987097105244
Guinea,13590281809.0,0.615,12771246.0,0.043,0.10800000000000001,0.693,262.95,0.095,4.7,36.36,61.2,0.915,0.11599999999999999,0.545,1064.1312373906196
Guinea-Bissau,1340389411.0,0.72,1920922.0,0.024700000000000003,0.10300000000000001,0.455,111.65,0.013999999999999999,4.48,35.13,58.0,1.187,0.026000000000000002,0.37200000000000005,697.7844030106376
Guyana,4280443645.0,0.562,782766.0,0.1185,,0.306,116.19,0.021,2.46,19.97,69.8,0.978,0.11599999999999999,0.405,5468.356628928696
Haiti,8498981821.0,0.672,11263077.0,0.1378,,0.42700000000000005,179.29,0.125,2.94,24.35,63.7,1.136,0.011000000000000001,0.363,754.5879177599514
Vatican City,,,836.0,,,,,,,,,,,,
Honduras,25095395475.0,0.688,9746117.0,0.053899999999999997,0.17300000000000001,0.391,150.34,0.044000000000000004,2.46,21.6,75.1,0.915,0.262,0.491,2574.912190670397
Hungary,160967157504.0,0.565,9769949.0,0.034,0.23,0.379,121.64,0.033,1.54,9.6,75.8,1.008,0.485,0.29,16475.741838979917
Iceland,24188035739.0,0.75,361313.0,0.028399999999999998,0.233,0.319,129,0.03,1.71,12.0,82.7,1.004,0.718,0.17,66944.82550863102
India,2611000000000.0,0.493,1366417754.0,0.0536,0.11199999999999999,0.49700000000000005,180.44,0.077,2.22,17.86,69.4,1.13,0.281,0.6509999999999999,1910.8358277376421
Indonesia,1119190780753.0,0.675,270203917.0,0.046900000000000004,0.102,0.301,151.18,0.03,2.31,18.07,71.5,1.064,0.363,0.483,4142.022784788127
Iran,445345282123.0,0.447,82913906.0,0.11380000000000001,0.07400000000000001,0.447,550.93,0.39899999999999997,2.14,18.78,76.5,1.107,0.6809999999999999,0.397,5371.177207873912
Iraq,234094042939.0,0.43,39309783.0,0.1282,0.02,0.308,119.86,0.004,3.67,29.08,70.5,1.087,0.162,0.765,5955.109010370268
Republic of Ireland,388698711348.0,0.621,5007069.0,0.0493,0.183,0.261,106.58,0.009000000000000001,1.75,12.5,82.3,1.0090000000000001,0.778,0.152,77629.9889911643
Israel,395098666122.0,0.64,9053300.0,0.038599999999999995,0.231,0.253,108.15,0.008,3.09,20.8,82.8,1.0490000000000002,0.634,0.244,43641.39773585323
Italy,2001244392042.0,0.496,60297396.0,0.0989,0.243,0.591,110.62,0.006,1.29,7.3,82.9,1.0190000000000001,0.619,0.228,33189.56579886136
Jamaica,16458071068.0,0.66,2948279.0,0.08,0.268,0.35100000000000003,162.47,0.039,1.98,16.1,74.4,0.91,0.271,0.237,5582.263777613991
Japan,5081769542380.0,0.617,126226568.0,0.0229,0.11900000000000001,0.467,105.48,0.005,1.42,7.4,84.2,0.988,0.632,0.131,40259.112030836484
Jordan,43743661972.0,0.39299999999999996,10101694.0,0.1472,0.151,0.28600000000000003,125.6,0.008,2.76,21.98,74.4,0.815,0.344,0.251,4330.329345949303
Kazakhstan,180161741180.0,0.688,18513930.0,0.045899999999999996,0.11699999999999999,0.284,182.75,0.052000000000000005,2.84,21.77,73.2,1.044,0.617,0.38799999999999996,9731.14520687936
Kenya,95503088538.0,0.747,52573973.0,0.0264,0.151,0.37200000000000005,180.51,0.047,3.49,28.75,66.3,1.032,0.115,0.33399999999999996,1816.5469164371505
Kiribati,194647202.0,,117606.0,,0.22,0.327,99.55,0.006,3.57,27.89,68.1,1.013,,0.002,1655.0788395149907
Kuwait,134761198946.0,0.735,4207083.0,0.0218,0.013999999999999999,0.13,126.6,0.011000000000000001,2.08,13.94,75.4,0.924,0.544,0.14400000000000002,32031.980102603156
Kyrgyzstan,8454619608.0,0.598,6456900.0,0.0633,0.18,0.29,155.68,0.011000000000000001,3.3,27.1,71.4,1.0759999999999998,0.413,0.48200000000000004,1309.3929916833156
Laos,18173839128.0,0.785,7169455.0,0.0063,0.129,0.24100000000000002,135.87,0.033,2.67,23.55,67.6,1.024,0.15,0.45399999999999996,2534.8982772051713
Latvia,34117202555.0,0.614,1912789.0,0.0652,0.22899999999999998,0.381,116.86,0.027999999999999997,1.6,10.0,74.7,0.9940000000000001,0.8809999999999999,0.41600000000000004,17836.364886560932
Lebanon,53367042272.0,0.47,6855713.0,0.0623,0.153,0.322,130.02,0.03,2.09,17.55,78.9,0.951,0.263,0.321,7784.316856904599
Lesotho,2460072444.0,0.679,2125268.0,0.2341,0.316,0.136,155.86,0.052000000000000005,3.14,26.81,53.7,1.209,0.102,0.16899999999999998,1157.5351645063117
Liberia,3070518100.0,0.763,4937374.0,0.0281,0.129,0.462,223.13,0.23600000000000002,4.32,33.04,63.7,0.851,0.11900000000000001,0.196,621.8929536227153
Libya,52076250948.0,0.49700000000000005,6777452.0,0.1856,,0.326,125.71,0.026000000000000002,2.24,18.83,72.7,1.09,0.605,0.36700000000000005,7683.750611291677
Liechtenstein,6552858739.0,,38019.0,,,0.21600000000000003,,,1.44,9.9,83.0,1.047,0.35600000000000004,,172357.4722901707
Lithuania,54219315600.0,0.616,2786844.0,0.0635,0.16899999999999998,0.426,118.38,0.023,1.63,10.0,75.7,1.0390000000000001,0.7240000000000001,0.321,19455.45412660343
Luxembourg,71104919108.0,0.593,645397.0,0.0536,0.265,0.204,115.09,0.017,1.37,10.3,82.1,1.023,0.192,0.106,110172.37314087298
Madagascar,14083906357.0,0.861,26969307.0,0.0176,0.102,0.38299999999999995,184.33,0.055999999999999994,4.08,32.66,66.7,1.425,0.054000000000000006,0.217,522.219809244635
Malawi,7666704427.0,0.767,18628747.0,0.0565,0.17300000000000001,0.345,418.34,0.094,4.21,34.12,63.8,1.425,0.008,0.11,411.5523404231106
Malaysia,364701517788.0,0.643,32447385.0,0.0332,0.12,0.387,121.46,0.006999999999999999,2.0,16.75,76.0,1.053,0.451,0.36700000000000005,11239.78150436468
Maldives,5729248472.0,0.698,530953.0,0.061399999999999996,0.195,0.302,99.7,0.002,1.87,14.2,78.6,0.971,0.312,0.16399999999999998,10790.500236367438
Mali,17510141171.0,0.708,19658031.0,0.0722,0.11599999999999999,0.545,108.73,-0.017,5.88,41.54,58.9,0.7559999999999999,0.045,0.46299999999999997,890.7372854890706
Malta,14786156563.0,0.565,502653.0,0.0347,0.262,0.44,113.45,0.016,1.23,9.2,82.3,1.05,0.5429999999999999,0.371,29416.230606402427
Marshall Islands,221278000.0,,58791.0,,0.17800000000000002,0.659,,,4.05,29.03,65.2,0.847,0.237,0.1,3763.8073854841728
Mauritania,7593752450.0,0.45899999999999996,4525696.0,0.0955,,0.67,135.02,0.023,4.56,33.69,64.7,0.9990000000000001,0.05,0.48200000000000004,1677.9192526409197
Mauritius,14180444557.0,0.583,1265711.0,0.0667,0.191,0.222,129.91,0.004,1.41,10.2,74.4,1.011,0.406,0.507,11203.540584699034
Mexico,1258286717125.0,0.607,126014024.0,0.0342,0.131,0.551,141.54,0.036000000000000004,2.13,17.6,75.0,1.058,0.402,0.414,9985.29113811174
Federated States of Micronesia,401932279.0,,113815.0,,0.252,0.605,112.1,0.005,3.05,22.82,67.8,0.972,0.141,0.025,3531.452611694416
Moldova,11955435457.0,0.431,2657637.0,0.0547,0.177,0.387,166.2,0.048,1.26,10.1,71.8,0.9059999999999999,0.39799999999999996,0.462,4498.520850289186
